x;y;date
4013;24;02/08/2018
3390;22;03/08/2018
1839;19;04/08/2018
2106;30;05/08/2018
3958;31;06/08/2018
3770;28;07/08/2018
3729;31;08/08/2018
3576;37;09/08/2018
3623;41;10/08/2018
1980;16;11/08/2018
2067;31;12/08/2018
4504;28;13/08/2018
4060;28;14/08/2018
4221;28;15/08/2018
3979;31;16/08/2018
3903;32;17/08/2018
2154;70;18/08/2018
2367;32;19/08/2018
4564;57;20/08/2018
4205;32;21/08/2018
4310;45;22/08/2018
4769;46;23/08/2018
3924;43;24/08/2018
1921;22;25/08/2018
2245;27;26/08/2018
4615;43;27/08/2018
4961;43;28/08/2018
5076;38;29/08/2018
5049;46;30/08/2018
4114;29;31/08/2018
2110;21;01/09/2018
2612;29;02/09/2018
4395;31;03/09/2018
4233;28;04/09/2018
4904;43;05/09/2018
4421;21;06/09/2018
4057;37;07/09/2018
2197;14;08/09/2018
2646;25;09/09/2018
4799;28;10/09/2018
4730;47;11/09/2018
5158;46;12/09/2018
4422;35;13/09/2018
4141;25;14/09/2018
2404;27;15/09/2018
2621;28;16/09/2018
5292;38;17/09/2018
5637;31;18/09/2018
5762;55;19/09/2018
4837;36;20/09/2018
4463;33;21/09/2018
2296;27;22/09/2018
2708;38;23/09/2018
5031;43;24/09/2018
4888;44;25/09/2018
5013;44;26/09/2018
4595;36;27/09/2018
4200;30;28/09/2018
2385;25;29/09/2018
2432;29;30/09/2018
4432;39;01/10/2018
4126;25;02/10/2018
4839;25;03/10/2018
4375;30;04/10/2018
4274;35;05/10/2018
2114;22;06/10/2018
2502;24;07/10/2018
5119;42;08/10/2018
4682;34;09/10/2018
5266;21;10/10/2018
4805;36;11/10/2018
3958;35;12/10/2018
2246;15;13/10/2018
2717;28;14/10/2018
5199;26;15/10/2018
5176;37;16/10/2018
5277;35;17/10/2018
5493;28;18/10/2018
5004;25;19/10/2018
2758;22;20/10/2018
2696;20;21/10/2018
5426;23;22/10/2018
5225;39;23/10/2018
5931;40;24/10/2018
5114;49;25/10/2018
4616;42;26/10/2018
2458;20;27/10/2018
2855;27;28/10/2018
5376;39;29/10/2018
5611;40;30/10/2018
5529;41;31/10/2018
5188;32;01/11/2018
4436;27;02/11/2018
2468;31;03/11/2018
3086;40;04/11/2018
4684;26;05/11/2018
4581;34;06/11/2018
4927;35;07/11/2018
4514;26;08/11/2018
3800;31;09/11/2018
2583;25;10/11/2018
2470;26;11/11/2018
4292;32;12/11/2018
5366;23;13/11/2018
5195;47;14/11/2018
5409;41;15/11/2018
4960;31;16/11/2018
3180;16;17/11/2018
3558;36;18/11/2018
5370;43;19/11/2018
5041;41;20/11/2018
5634;40;21/11/2018
4366;34;22/11/2018
4355;30;23/11/2018
2539;32;24/11/2018
2918;33;25/11/2018
5739;27;26/11/2018
5681;49;27/11/2018
5418;35;28/11/2018
5233;36;29/11/2018
4619;40;30/11/2018
2728;24;01/12/2018
3001;39;02/12/2018
5465;27;03/12/2018
5216;53;04/12/2018
5168;31;05/12/2018
4911;45;06/12/2018
4273;18;07/12/2018
2674;20;08/12/2018
3069;28;09/12/2018
5173;30;10/12/2018
5025;35;11/12/2018
5954;-8;12/12/2018
5302;34;13/12/2018
4524;26;14/12/2018
2474;31;15/12/2018
2861;22;16/12/2018
4679;29;17/12/2018
4864;24;18/12/2018
4367;26;19/12/2018
4324;39;20/12/2018
3419;18;21/12/2018
1910;17;22/12/2018
1872;22;23/12/2018
2086;19;24/12/2018
2089;25;25/12/2018
2919;24;26/12/2018
3120;29;27/12/2018
2603;20;28/12/2018
1720;24;29/12/2018
2028;17;30/12/2018
1777;10;31/12/2018
1878;12;01/01/2019
3861;29;02/01/2019
4175;17;03/01/2019
3556;15;04/01/2019
1967;16;05/01/2019
2499;24;06/01/2019
4917;75;07/01/2019
4891;84;08/01/2019
4795;42;09/01/2019
4314;67;10/01/2019
3967;47;11/01/2019
2228;25;12/01/2019
2485;29;13/01/2019
4695;35;14/01/2019
4435;43;15/01/2019
4757;34;16/01/2019
4661;40;17/01/2019
4533;22;18/01/2019
2468;15;19/01/2019
3003;28;20/01/2019
5219;34;21/01/2019
4932;38;22/01/2019
5708;65;23/01/2019
5607;38;24/01/2019
4660;30;25/01/2019
2666;28;26/01/2019
3042;17;27/01/2019
5386;27;28/01/2019
5367;46;29/01/2019
5931;44;30/01/2019
5316;20;31/01/2019
4414;26;01/02/2019
2368;26;02/02/2019
2874;34;03/02/2019
5277;20;04/02/2019
5006;38;05/02/2019
5746;37;06/02/2019
5151;31;07/02/2019
4440;30;08/02/2019
3015;37;09/02/2019
3198;23;10/02/2019
5463;32;11/02/2019
5273;50;12/02/2019
6325;33;13/02/2019
5791;38;14/02/2019
4985;42;15/02/2019
2877;30;16/02/2019
3273;27;17/02/2019
6063;46;18/02/2019
5709;30;19/02/2019
6368;29;20/02/2019
5627;47;21/02/2019
4719;31;22/02/2019
2955;32;23/02/2019
3340;35;24/02/2019
6088;33;25/02/2019
5532;38;26/02/2019
6649;42;27/02/2019
6105;53;28/02/2019
5072;32;01/03/2019
2907;40;02/03/2019
3497;26;03/03/2019
5732;36;04/03/2019
6037;43;05/03/2019
6059;36;06/03/2019
5505;34;07/03/2019
5139;25;08/03/2019
3156;31;09/03/2019
3203;21;10/03/2019
6161;37;11/03/2019
6276;48;12/03/2019
6976;44;13/03/2019
7256;59;14/03/2019
5752;53;15/03/2019
3237;27;16/03/2019
3606;32;17/03/2019
6976;43;18/03/2019
6487;130;19/03/2019
6517;55;20/03/2019
6199;48;21/03/2019
5506;33;22/03/2019
3164;30;23/03/2019
3406;31;24/03/2019
6673;42;25/03/2019
7086;50;26/03/2019
6979;48;27/03/2019
6733;50;28/03/2019
5691;48;29/03/2019
3108;32;30/03/2019
3323;19;31/03/2019
6103;32;01/04/2019
6146;45;02/04/2019
6917;53;03/04/2019
5945;50;04/04/2019
5335;32;05/04/2019
2713;27;06/04/2019
3003;32;07/04/2019
7346;56;08/04/2019
6509;48;09/04/2019
6701;37;10/04/2019
6702;51;11/04/2019
5883;55;12/04/2019
3759;35;13/04/2019
5082;39;14/04/2019
6833;42;15/04/2019
6513;47;16/04/2019
